Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Notes,Date,Time
2.3383101784452798,5000,2.6870872439056637,2500,14.0,"descriptor with  standardization classifier (768,128)",09/06/2022,18:08:00
2.236030674228072,5000,3.6668703956365585,2500,13.9,"descriptor with  standardization classifier (768,128)",09/06/2022,18:21:00
3.1193188649788497,5000,2.5265816152989866,2500,13.9,"descriptor with  standardization classifier (768,128)",09/06/2022,18:43:00
2.2519604977212846,5000,2.21603849452436,2500,14.0,"descriptor with  standardization classifier (768,128)",09/06/2022,18:57:00
2.196673153135786,5000,1.393158052790165,2500,14.2,"descriptor with  standardization classifier (768,128)",09/06/2022,19:11:00
2.166442667734623,5000,1.4037619931727647,2500,14.1,"descriptor with  standardization classifier (768,128)",09/06/2022,19:25:00
2.1383805434569716,5000,1.9027909001715482,2500,13.9,"descriptor with  standardization classifier (768,128)",09/06/2022,19:39:00
2.1248834938064216,5000,1.3866513454824687,2500,13.7,"descriptor with  standardization classifier (768,128)",09/06/2022,19:53:00
2.131430357019603,5000,1.8179632549837232,2500,13.7,"descriptor with  standardization classifier (768,128)",09/06/2022,20:06:00
2.1005029511271043,5000,2.0110274558141827,2500,13.7,"descriptor with  standardization classifier (768,128)",09/06/2022,20:20:00
2.111179899430275,5000,1.8665907860979438,2500,13.7,"descriptor with  standardization classifier (768,128)",09/06/2022,20:34:00
2.1391681840717793,5000,1.3286405910059809,2500,13.6,"descriptor with  standardization classifier (768,128)",09/06/2022,20:47:00
2.0769852529540658,5000,1.943293074131012,2500,13.6,"descriptor with  standardization classifier (768,128)",09/06/2022,21:01:00
2.10569114982225,5000,1.5049193555608391,2500,13.6,"descriptor with  standardization classifier (768,128)",09/06/2022,21:15:00
2.062301570351422,5000,2.602960381963849,2500,13.6,"descriptor with  standardization classifier (768,128)",09/06/2022,21:28:00
2.1275458231598137,5000,1.591670698338747,2500,13.6,"descriptor with  standardization classifier (768,128)",09/06/2022,21:42:00
2.0455522159069774,5000,1.7281561976328492,2500,13.6,"descriptor with  standardization classifier (768,128)",09/06/2022,21:56:00
2.0384930694703014,5000,1.7965220149219037,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,03:54:00
2.049397119500488,5000,1.6247329073667527,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,04:08:00
2.0625735457956793,5000,1.9409997801035643,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,04:21:00
2.097744512987137,5000,1.721906766575575,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,04:35:00
2.0235094418406487,5000,1.7566375789493323,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,04:48:00
2.039332111479342,5000,1.7384473915982992,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,05:02:00
2.1199703623451294,5000,1.7071550044968724,2500,13.4,"descriptor with  standardization classifier (768,128)",10/06/2022,05:15:00
2.1215323058411477,5000,1.7489357515007258,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,05:29:00
2.0564974955946207,5000,1.605584636950493,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,05:42:00
2.0639164208203553,5000,1.6999828325338662,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,05:55:00
2.006244225951936,5000,1.6336145206309856,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,06:09:00
2.0643980552935974,5000,1.8273521398544312,2500,13.5,"descriptor with  standardization classifier (768,128)",10/06/2022,06:22:00
